SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,0,0,5,AODV,7.5
12,0,0,5,AODV,7.5
13,0,0,5,AODV,7.5
14,0,0,5,AODV,7.5
15,0,0,5,AODV,7.5
16,0,0,5,AODV,7.5
17,0,0,5,AODV,7.5
18,0,0,5,AODV,7.5
19,0,0,5,AODV,7.5
20,0,0,5,AODV,7.5
21,0,0,5,AODV,7.5
22,0,0,5,AODV,7.5
23,0,0,5,AODV,7.5
24,0,0,5,AODV,7.5
25,0,0,5,AODV,7.5
26,0,0,5,AODV,7.5
27,0,0,5,AODV,7.5
28,0,0,5,AODV,7.5
29,0,0,5,AODV,7.5
30,0,0,5,AODV,7.5
31,0,0,5,AODV,7.5
32,0,0,5,AODV,7.5
33,0,0,5,AODV,7.5
34,0,0,5,AODV,7.5
35,0,0,5,AODV,7.5
36,0,0,5,AODV,7.5
37,0,0,5,AODV,7.5
38,0,0,5,AODV,7.5
39,0,0,5,AODV,7.5
40,0,0,5,AODV,7.5
41,0,0,5,AODV,7.5
42,0,0,5,AODV,7.5
43,0,0,5,AODV,7.5
44,0,0,5,AODV,7.5
45,0,0,5,AODV,7.5
46,0,0,5,AODV,7.5
47,0,0,5,AODV,7.5
48,0,0,5,AODV,7.5
49,0,0,5,AODV,7.5
50,0,0,5,AODV,7.5
51,0,0,5,AODV,7.5
52,0,0,5,AODV,7.5
53,0,0,5,AODV,7.5
54,0,0,5,AODV,7.5
55,0,0,5,AODV,7.5
56,0,0,5,AODV,7.5
57,0,0,5,AODV,7.5
58,0,0,5,AODV,7.5
59,0,0,5,AODV,7.5
60,0,0,5,AODV,7.5
61,0,0,5,AODV,7.5
62,0,0,5,AODV,7.5
63,0,0,5,AODV,7.5
64,0,0,5,AODV,7.5
65,0,0,5,AODV,7.5
66,0,0,5,AODV,7.5
67,0,0,5,AODV,7.5
68,0,0,5,AODV,7.5
69,0,0,5,AODV,7.5
70,0,0,5,AODV,7.5
71,0,0,5,AODV,7.5
72,0,0,5,AODV,7.5
73,0,0,5,AODV,7.5
74,0,0,5,AODV,7.5
75,0,0,5,AODV,7.5
76,0,0,5,AODV,7.5
77,0,0,5,AODV,7.5
78,0,0,5,AODV,7.5
79,0,0,5,AODV,7.5
80,0,0,5,AODV,7.5
81,0,0,5,AODV,7.5
82,0,0,5,AODV,7.5
83,0,0,5,AODV,7.5
84,0,0,5,AODV,7.5
85,0,0,5,AODV,7.5
86,0,0,5,AODV,7.5
87,0,0,5,AODV,7.5
88,0,0,5,AODV,7.5
89,0,0,5,AODV,7.5
90,0,0,5,AODV,7.5
91,0,0,5,AODV,7.5
92,0,0,5,AODV,7.5
93,0,0,5,AODV,7.5
94,0,0,5,AODV,7.5
95,0,0,5,AODV,7.5
96,0,0,5,AODV,7.5
97,0,0,5,AODV,7.5
98,0,0,5,AODV,7.5
99,0,0,5,AODV,7.5
100,0,0,5,AODV,7.5
101,6.144,12,5,AODV,7.5
102,10.24,20,5,AODV,7.5
103,10.24,20,5,AODV,7.5
104,10.24,20,5,AODV,7.5
105,10.24,20,5,AODV,7.5
106,10.24,20,5,AODV,7.5
107,10.24,20,5,AODV,7.5
108,10.24,20,5,AODV,7.5
109,10.24,20,5,AODV,7.5
110,10.24,20,5,AODV,7.5
111,10.24,20,5,AODV,7.5
112,10.24,20,5,AODV,7.5
113,10.24,20,5,AODV,7.5
114,10.24,20,5,AODV,7.5
115,10.24,20,5,AODV,7.5
116,10.24,20,5,AODV,7.5
117,10.24,20,5,AODV,7.5
118,10.24,20,5,AODV,7.5
119,10.24,20,5,AODV,7.5
120,10.24,20,5,AODV,7.5
121,10.24,20,5,AODV,7.5
122,10.24,20,5,AODV,7.5
123,10.24,20,5,AODV,7.5
124,10.24,20,5,AODV,7.5
125,10.24,20,5,AODV,7.5
126,10.24,20,5,AODV,7.5
127,10.24,20,5,AODV,7.5
128,10.24,20,5,AODV,7.5
129,10.24,20,5,AODV,7.5
130,10.24,20,5,AODV,7.5
131,10.24,20,5,AODV,7.5
132,9.728,19,5,AODV,7.5
133,10.24,20,5,AODV,7.5
134,10.24,20,5,AODV,7.5
135,10.24,20,5,AODV,7.5
136,10.24,20,5,AODV,7.5
137,10.24,20,5,AODV,7.5
138,10.24,20,5,AODV,7.5
139,10.24,20,5,AODV,7.5
140,10.24,20,5,AODV,7.5
141,10.24,20,5,AODV,7.5
142,10.24,20,5,AODV,7.5
143,10.24,20,5,AODV,7.5
144,10.24,20,5,AODV,7.5
145,10.24,20,5,AODV,7.5
146,10.24,20,5,AODV,7.5
147,10.24,20,5,AODV,7.5
148,10.24,20,5,AODV,7.5
149,10.24,20,5,AODV,7.5
150,10.24,20,5,AODV,7.5
151,10.24,20,5,AODV,7.5
152,10.24,20,5,AODV,7.5
153,10.24,20,5,AODV,7.5
154,10.24,20,5,AODV,7.5
155,10.24,20,5,AODV,7.5
156,10.24,20,5,AODV,7.5
157,10.24,20,5,AODV,7.5
158,10.24,20,5,AODV,7.5
159,10.24,20,5,AODV,7.5
160,10.24,20,5,AODV,7.5
161,10.24,20,5,AODV,7.5
162,10.24,20,5,AODV,7.5
163,10.24,20,5,AODV,7.5
164,10.24,20,5,AODV,7.5
165,10.24,20,5,AODV,7.5
166,10.24,20,5,AODV,7.5
167,10.24,20,5,AODV,7.5
168,10.24,20,5,AODV,7.5
169,10.24,20,5,AODV,7.5
170,10.24,20,5,AODV,7.5
171,10.24,20,5,AODV,7.5
172,10.24,20,5,AODV,7.5
173,10.24,20,5,AODV,7.5
174,10.24,20,5,AODV,7.5
175,10.24,20,5,AODV,7.5
176,10.24,20,5,AODV,7.5
177,10.24,20,5,AODV,7.5
178,10.24,20,5,AODV,7.5
179,10.24,20,5,AODV,7.5
180,10.24,20,5,AODV,7.5
181,10.24,20,5,AODV,7.5
182,10.24,20,5,AODV,7.5
183,10.24,20,5,AODV,7.5
184,10.24,20,5,AODV,7.5
185,10.24,20,5,AODV,7.5
186,8.704,17,5,AODV,7.5
187,9.728,19,5,AODV,7.5
188,10.24,20,5,AODV,7.5
